Arbor_ID,Status,Protected_Object,Policy_Name,Target_Network,Protocol,Peak_Bandwidth,Peak_Bandwidth_bps,Peak_PPS,Peak_PPS_raw,Attack_Start,Attack_End,Duration_min,Mitigation_UP,Mitigation_DOWN,Source_Log_File
arbor_10590027,Completed,BBMM_LCM_02,BBMM_LCM_02_1@00f3de-0016e-0,199.47.56.180/32,UDP,273.9 Mbps,273930000,24.9K pps,24850,2026-03-01 12:15:37,2026-03-01 12:21:05,5,BBMM_LCM_02,BBMM_LCM_02,alert.2026-03-02_0911.log
arbor_10590296,Completed,SOC_IAAS_W6017_WHI_CGNATv4,SOC_IAAS_W6017_WHI_CGNATv4_1@00f3df-00027-0,142.127.7.109/32,OTHER,900.1 Mbps,900100000,1.00M pps,1000000,2026-03-02 07:40:24,2026-03-02 07:47:04,6,SOC_IAAS_W6017_WHI_CGNATv4,,alert.2026-03-02_0911.log
arbor_10590299,Completed,SOC_IAAS_W6017_WHI_CGNATv4,SOC_IAAS_W6017_WHI_CGNATv4_1@00f3df-00027-0,142.127.7.109/32,OTHER,23.47 Gbps,23470000000,,0,2026-03-02 07:47:28,2026-03-02 07:53:01,5,,SOC_IAAS_W6017_WHI_CGNATv4,alert.2026-03-02_0911.log
arbor_10590303,Completed,SOC-AliantDNS-01,,198.164.4.2/32,OTHER,11.3 Mbps,11330000,16.9K pps,16890,2026-03-02 08:11:52,2026-03-02 08:20:04,8,SOC-AliantDNS-01,,alert.2026-03-02_0911.log
arbor_10590304,Completed,SOC-AliantDNS-01,,198.164.30.2/32,OTHER,12.0 Mbps,11960000,17.9K pps,17900,2026-03-02 08:11:52,2026-03-02 08:20:04,8,SOC-AliantDNS-01,,alert.2026-03-02_0911.log
arbor_10590309,Completed,SOC-Cove-01,,69.158.192.86/32,OTHER,2.3 Mbps,2300000,267 pps,267,2026-03-02 08:31:11,2026-03-02 08:37:05,5,SOC-Cove-01 (Pending),,alert.2026-03-02_0911.log
arbor_10590316,Completed,SOC-Cove-01,,206.47.205.2/32,OTHER,4.8 Mbps,4850000,533 pps,533,2026-03-02 09:00:37,2026-03-02 09:05:02,4,SOC-Cove-01 (Pending),,alert.2026-03-02_0911.log
arbor_10590322,Completed,SOC_IAAS_W6017_WHI_CGNATv4,SOC_IAAS_W6017_WHI_CGNATv4_1@00f3e4-00027-0,142.127.6.25/32,OTHER,4.85 Gbps,4850000000,1.00M pps,1000000,2026-03-02 10:02:29,2026-03-02 10:07:00,4,SOC_IAAS_W6017_WHI_CGNATv4,SOC_IAAS_W6017_WHI_CGNATv4,alert.2026-03-02_0911.log
arbor_10590328,Completed,BBMM-GOO-BB-14,BBMM-GOO-BB-14_1@00f3e5-00183-0,142.127.106.177/32,UDP,101.3 Mbps,101280000,10.0K pps,10000,2026-03-02 10:43:07,2026-03-02 10:49:02,5,BBMM-GOO-BB-14,BBMM-GOO-BB-14,alert.2026-03-02_0911.log
arbor_10590346,Completed,BBMM-MOR-01,BBMM-MOR-01_1@00f3e6-00148-0,206.47.250.154/32,OTHER,539.9 Mbps,539910000,53.8K pps,53760,2026-03-02 12:48:51,2026-03-02 12:53:02,4,BBMM-MOR-01,BBMM-MOR-01,alert.2026-03-02_0911.log
arbor_10590349,Completed,BBMM-MOR-01,BBMM-MOR-01_1@00f3e7-00148-0,206.47.250.154/32,OTHER,504.6 Mbps,504550000,51.3K pps,51310,2026-03-02 13:15:53,2026-03-02 13:24:01,8,BBMM-MOR-01,BBMM-MOR-01,alert.2026-03-02_0911.log
arbor_10590393,Completed,BBMM-OMER-03,BBMM-OMER-03_1@00f3e8-00106-0,207.236.175.10/32,OTHER,777.7 Mbps,777740000,65.6K pps,65560,2026-03-02 15:09:54,2026-03-02 15:14:00,4,BBMM-OMER-03,BBMM-OMER-03,alert.2026-03-06_0051.log
arbor_10590394,Completed,BBMM-MOR-01,BBMM-MOR-01_1@00f3ea-00148-0,206.47.250.154/32,OTHER,552.2 Mbps,552210000,56.6K pps,56560,2026-03-02 15:20:52,2026-03-02 15:25:03,4,BBMM-MOR-01,BBMM-MOR-01,alert.2026-03-06_0051.log
