Kentik_ID,Status,Target_Network,Protocol,Peak_Bandwidth,Peak_Bandwidth_bps,Peak_PPS,Peak_PPS_raw,Attack_Start,Attack_End,Duration_min,Mitigation_UP,Mitigation_DOWN,ProtectedName,PolicyName,Source_Log_File
kentik_59714,Completed,24.192.162.177/32,UDP,0 bps,0,53.9K pps,53916,2026-03-01 00:21:27,2026-03-01 01:01:14,39,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-03_0716.log
kentik_59715,Completed,67.149.254.81/32,UDP,254.5 Mbps,254496736,,0,2026-03-01 01:26:29,2026-03-01 02:07:44,41,WOW-ARIN | WOW-RESIDENTAL-2,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-03_0716.log
kentik_59716,Completed,24.214.121.10/32,UDP,0 bps,0,4.96M pps,4959623,2026-03-01 03:09:00,2026-03-01 04:27:36,78,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-03_0716.log
kentik_59717,Completed,24.214.121.10/32,UDP,46.78 Gbps,46775984864,4.96M pps,4962072,2026-03-01 03:09:00,2026-03-01 03:46:47,37,WOW-RESIDENTAL-1,,WOW-RESIDENTAL-1,WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-03_0716.log
kentik_59718,Completed,75.76.145.238/32,UDP,291.7 Mbps,291695464,,0,2026-03-01 03:19:16,2026-03-01 04:00:04,40,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-03_0716.log
kentik_59719,Completed,24.192.124.129/32,UDP,0 bps,0,50.5K pps,50499,2026-03-01 03:32:31,2026-03-01 04:13:20,40,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-03_0716.log
kentik_59720,Completed,50.4.231.92/32,UDP,0 bps,0,66.8K pps,66833,2026-03-01 05:07:51,2026-03-01 06:23:08,75,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-03_0716.log
kentik_59721,Completed,50.4.7.158/32,UDP,0 bps,0,52.5K pps,52499,2026-03-01 05:13:06,2026-03-01 05:54:38,41,WOW-ARIN | WOW-RESIDENTAL-1,WOW-RESIDENTAL-1 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-03_0716.log
kentik_59722,Completed,69.14.146.78/32,UDP,200.1 Mbps,200137184,,0,2026-03-01 05:48:22,2026-03-01 06:28:24,40,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-03_0716.log
kentik_59723,Completed,69.14.107.128/32,UDP,0 bps,0,60.4K pps,60416,2026-03-01 06:19:53,2026-03-01 07:02:55,43,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-03_0716.log
kentik_59724,Completed,143.59.24.204/32,UDP,0 bps,0,93.8K pps,93831,2026-03-01 06:39:39,2026-03-01 07:20:10,40,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-03_0716.log
kentik_59725,Completed,143.59.232.121/32,UDP,0 bps,0,82.7K pps,82749,2026-03-01 11:28:26,2026-03-01 12:10:42,42,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-03_0716.log
kentik_59726,Completed,69.1.54.160/32,UDP,595.0 Mbps,595023632,,0,2026-03-01 12:58:58,2026-03-01 13:40:14,41,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-03_0716.log
kentik_59727,Completed,67.149.180.162/32,UDP,1.92 Gbps,1922473744,164.3K pps,164332,2026-03-01 17:04:30,2026-03-01 17:55:45,51,WOW-ARIN | WOW-RESIDENTAL-2,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-03_0716.log
kentik_59728,Completed,24.214.221.92/32,UDP,150.9 Mbps,150856064,,0,2026-03-01 22:43:01,2026-03-01 23:23:32,40,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-03_0716.log
kentik_59729,Completed,67.149.126.150/32,UDP,0 bps,0,57.3K pps,57333,2026-03-01 23:23:16,2026-03-02 00:03:31,40,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-03_0716.log
kentik_59730,Completed,69.14.164.38/32,UDP,0 bps,0,336.3K pps,336337,2026-03-02 00:26:47,2026-03-02 01:08:34,41,WOW-ARIN | WOW-RESIDENTAL-2,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-03-03_0716.log
kentik_59731,Completed,69.14.164.38/32,UDP,1.27 Gbps,1267547568,,0,2026-03-02 00:27:03,2026-03-02 01:02:18,35,,,,,alert.2026-03-03_0716.log
